InputSize,S,AverageComparisons,AverageTime
800,112,22253,0.000000
800,113,22033,0.000000
800,114,22689,0.000000
800,115,22453,0.000000
800,116,21850,0.000000
800,117,21842,0.000000
800,118,22025,0.000000
800,119,22137,0.000000
800,120,22214,0.000000
800,121,22174,0.000000
800,122,22131,0.000000
800,123,21984,0.000000
800,124,22411,0.000000
800,125,21875,0.000000
800,126,22308,0.000000
800,127,21698,0.000000
800,128,21861,0.000000
1600,1,15027,0.000000
1600,2,14751,0.000000
1600,3,14460,0.000000
1600,4,14409,0.005333
1600,5,14408,0.000000
1600,6,14437,0.000000
1600,7,14433,0.000000
1600,8,14468,0.000000
1600,9,14422,0.000000
1600,10,14398,0.000000
1600,11,14416,0.000000
1600,12,14886,0.000000
1600,13,15553,0.000000
1600,14,15594,0.000000
1600,15,15571,0.000000
1600,16,15581,0.000000
1600,17,15459,0.000000
1600,18,15506,0.000000
1600,19,15541,0.000000
1600,20,15601,0.000000
1600,21,15489,0.000000
1600,22,15566,0.000000
1600,23,15447,0.000000
1600,24,15580,0.000000
1600,25,19228,0.000000
1600,26,19114,0.000000
1600,27,19268,0.000000
1600,28,18934,0.000000
1600,29,19211,0.000000
1600,30,19011,0.000000
1600,31,19274,0.005333
1600,32,18965,0.000000
1600,33,19073,0.000000
1600,34,19234,0.000000
1600,35,19007,0.000000
1600,36,18976,0.000000
1600,37,18921,0.000000
1600,38,19030,0.000000
1600,39,19122,0.000000
1600,40,18950,0.000000
1600,41,19006,0.000000
1600,42,18890,0.000000
1600,43,19015,0.000000
1600,44,18990,0.000000
1600,45,19013,0.000000
1600,46,19255,0.000000
1600,47,19032,0.000000
1600,48,19188,0.000000
1600,49,19016,0.000000
1600,50,27742,0.000000
1600,51,27716,0.000000
1600,52,27386,0.000000
1600,53,27802,0.000000
1600,54,27664,0.000000
1600,55,27709,0.005000
1600,56,27150,0.000000
1600,57,27780,0.000000
1600,58,27397,0.000000
1600,59,27328,0.000000
1600,60,27349,0.000000
1600,61,27653,0.000000
1600,62,27625,0.000000
1600,63,27840,0.000000
1600,64,27474,0.000000
1600,65,27531,0.000000
1600,66,27287,0.000000
1600,67,27474,0.000000
1600,68,26828,0.000000
1600,69,27475,0.000000
1600,70,27410,0.000000
1600,71,27083,0.000000
1600,72,27527,0.000000
1600,73,27684,0.000000
1600,74,27583,0.000000
1600,75,27346,0.000000
1600,76,27113,0.000000
1600,77,27315,0.000000
1600,78,27455,0.000000
1600,79,27524,0.000000
1600,80,27555,0.000000
1600,81,27521,0.000000
1600,82,27325,0.000000
1600,83,27321,0.000000
1600,84,27802,0.000000
1600,85,27621,0.005333
1600,86,27463,0.000000
1600,87,27479,0.000000
1600,88,27642,0.000000
1600,89,27450,0.000000
1600,90,27458,0.000000
1600,91,27423,0.000000
1600,92,27485,0.000000
1600,93,27756,0.000000
1600,94,27440,0.000000
1600,95,27731,0.000000
1600,96,27072,0.000000
1600,97,27497,0.000000
1600,98,27389,0.000000
1600,99,27351,0.000000
1600,100,45833,0.000000
1600,101,45871,0.000000
1600,102,46045,0.000000
1600,103,46198,0.000000
1600,104,46197,0.000000
1600,105,45514,0.000000
1600,106,45549,0.000000
1600,107,46767,0.000000
1600,108,46169,0.000000
1600,109,45715,0.000000
1600,110,45287,0.000000
1600,111,45307,0.000000
1600,112,46562,0.000000
1600,113,45510,0.000000
1600,114,45955,0.000000
1600,115,46016,0.000000
1600,116,45816,0.000000
1600,117,46336,0.000000
1600,118,45768,0.000000
1600,119,45190,0.000000
1600,120,46089,0.000000
1600,121,45884,0.000000
1600,122,46914,0.000000
1600,123,45297,0.000000
1600,124,45964,0.000000
1600,125,45801,0.000000
1600,126,46260,0.000000
1600,127,45902,0.000000
1600,128,46512,0.000000
3200,1,33296,0.000000
3200,2,32695,0.000000
3200,3,32100,0.000000
3200,4,32006,0.005333
3200,5,32013,0.000000
3200,6,31988,0.000000
3200,7,32103,0.000000
3200,8,32093,0.000000
3200,9,32080,0.000000
3200,10,32114,0.000000
3200,11,32131,0.000000
3200,12,32988,0.000000
3200,13,34291,0.000000
3200,14,34278,0.000000
3200,15,34433,0.000000
3200,16,34296,0.000000
3200,17,34264,0.005333
